visa,country,sum
NZ and Australian citizens,United Kingdom,264820
NZ and Australian citizens,United States of America,58917
NZ and Australian citizens,Uruguay,158
NZ and Australian citizens,Vanuatu,1853
NZ and Australian citizens,Venezuela,64
NZ and Australian citizens,Vietnam,2780
NZ and Australian citizens,"Virgin Islands, British",94
NZ and Australian citizens,Zambia,380
NZ and Australian citizens,Zimbabwe,426
Other,Afghanistan,676
Other,Africa and the Middle East,47140
Other,Argentina,1106
Other,Asia,235004
Other,Australia,6388
Other,Austria,446
Other,Bahrain,210
Other,Bangladesh,994
Other,Belarus,104
Other,Belgium,594
Other,Bermuda,54
Other,Botswana,484
Other,Brazil,1806
Other,Brunei Darussalam,364
Other,Bulgaria,358
Other,Cambodia,1974
Other,Canada,4378
Other,Chile,1126
Other,China,90666
Other,Colombia,420
Other,Croatia,172
Other,Denmark,674
Other,Egypt,590
Other,Ethiopia,402
Other,Europe,75854
Other,Fiji,18152
Other,Finland,150
Other,France,2164
Other,French Polynesia,964
Other,Germany,4086
Other,Greece,174
Other,Hong Kong (Special Administrative Region),4222
Other,Hungary,584
Other,Iceland,60
Other,India,35904
Other,Indonesia,4290
Other,Iran,902
Other,Iraq,1452
Other,Ireland,2186
Other,Israel,1466
Other,Italy,904
Other,Japan,11590
Other,Jordan,1038
Other,Kazakhstan,176
Other,Kenya,646
Other,Kiribati,1538
Other,South Korea,38982
Other,Kyrgyzstan,68
Other,Lebanon,116
Other,Malaysia,8828
Other,Maldives,184
Other,Mexico,606
Other,Namibia,190
Other,Nauru,256
Other,Nepal,482
Other,Netherlands,2514
Other,New Caledonia,764
Other,New Zealand,1676
Other,Nigeria,234
Other,North Macedonia,274
Other,Norway,846
Other,Not Stated,52306
Other,Oceania and Antarctica,66096
Other,Oman,690
Other,Pakistan,2324
Other,Papua New Guinea,1260
Other,Peru,264
Other,Philippines,9240
Other,Poland,368
Other,Romania,1894
Other,Russia,3558
Other,Samoa,14248
Other,"Samoa, American",506
Other,Saudi Arabia,1330
Other,Singapore,5880
Other,Slovakia,134
Other,Solomon Islands,1342
Other,Somalia,258
Other,South Africa,24230
Other,Spain,882
Other,Sri Lanka,3026
Other,Sweden,774
Other,Switzerland,1270
Other,Syria,312
Other,TOTAL,505554
Other,Taiwan,3742
Other,Tanzania,122
Other,Thailand,7098
Other,The Americas,29162
Other,Tonga,9634
Other,Turkey,564
Other,Tuvalu,1154
Other,United Arab Emirates,1938
Other,United Kingdom,48092
Other,United States of America,18334
Other,Uruguay,282
Other,Vanuatu,7884
Other,Vietnam,3338
Other,"Yugoslavia (to Aug 2003), Serbia and Montenegro (from Sep 2003)",382
Other,Zambia,230
Other,Zimbabwe,8048
Resident,Afghanistan,2612
Resident,Africa and the Middle East,45740
Resident,Asia,228920
Resident,Australia,16776
Resident,Bahrain,298
Resident,Belgium,494
Resident,Botswana,302
Resident,Brazil,914
Resident,Brunei Darussalam,354
Resident,Bulgaria,216
Resident,Cambodia,2366
Resident,Canada,3764
Resident,Chile,490
Resident,China,71258
Resident,Colombia,608
Resident,Democratic Republic of the Congo,186
Resident,Cook Islands,146
Resident,Czechia,254
Resident,Ecuador,2576
Resident,Egypt,1240
Resident,Ethiopia,1600
Resident,Europe,117204
Resident,Fiji,22610
Resident,France,1332
Resident,Gaza Strip/Palestine/West Bank,92
Resident,Germany,4146
Resident,Hong Kong (Special Administrative Region),4194
Resident,Hungary,188
Resident,Iceland,44
Resident,India,39062
Resident,Indonesia,3462
Resident,Iran,2654
Resident,Iraq,1032
Resident,Ireland,2276
Resident,Israel,344
Resident,Italy,628
Resident,Japan,3382
Resident,Jordan,1056
Resident,Kazakhstan,128
Resident,Kenya,974
Resident,Kiribati,1226
Resident,South Korea,7030
Resident,Kuwait,378
Resident,Laos,224
Resident,Lebanon,2486
Resident,Macau (Special Administrative Region),148
Resident,Malaysia,14458
Resident,Mauritius,170
Resident,Mexico,202
Resident,Myanmar,470
Resident,Nepal,2650
Resident,Netherlands,3144
Resident,New Caledonia,102
Resident,New Zealand,1208
Resident,Nigeria,356
Resident,Not Stated,109270
Resident,Oceania and Antarctica,99974
Resident,Oman,616
Resident,Pakistan,5388
Resident,Papua New Guinea,308
Resident,Philippines,43776
Resident,Portugal,164
Resident,Qatar,762
Resident,Russia,2066
Resident,Samoa,42690
Resident,"Samoa, American",370
Resident,Saudi Arabia,1536
Resident,Singapore,8030
Resident,Slovakia,74
Resident,Somalia,222
Resident,South Africa,18982
Resident,Spain,702
Resident,Sri Lanka,5770
Resident,Sudan,550
Resident,Sweden,668
Resident,Switzerland,922
Resident,Syria,1046
Resident,TOTAL,624082
Resident,Taiwan,3680
Resident,Tanzania,310
Resident,Thailand,6070
Resident,The Americas,22978
Resident,Tonga,12778
Resident,Tuvalu,1080
Resident,Uganda,388
Resident,United Arab Emirates,4226
Resident,United Kingdom,95712
Resident,United States of America,13150
Resident,Vanuatu,198
Resident,Vietnam,2858
Resident,W. Sahara,1
Resident,Zimbabwe,1886
Student,Africa and the Middle East,49426
Student,Asia,501840
Student,Australia,2578
Student,Bahrain,374
Student,Bangladesh,2336
Student,Belgium,200
Student,Botswana,334
Student,Brazil,7888
Student,Brunei Darussalam,552
Student,Bulgaria,142
Student,Cambodia,2304
Student,Canada,3980
Student,Chile,2656
Student,China,150282
Student,Colombia,4630
Student,Cook Islands,106
Student,Cyprus,124
Student,Czechia,192
Student,Denmark,456
Student,Egypt,428
Student,Ethiopia,114
Student,Europe,42802
Student,Fiji,18862
Student,France,1494
Student,Germany,5722
Student,Hong Kong (Special Administrative Region),6134
Student,Hungary,212
Student,India,178048
Student,Iran,2286
Student,Ireland,806
Student,Israel,444
Student,Italy,670
Student,Japan,15058
Student,Jordan,472
Student,Kazakhstan,730
Student,Kenya,808
Student,South Korea,17028
Student,Laos,644
Student,Macau (Special Administrative Region),418
Student,Malaysia,17266
Student,Maldives,412
Student,Mexico,944
Student,Nepal,7590
Student,New Caledonia,554
Student,New Zealand,1028
Student,Nigeria,794
Student,Not Stated,41932
Student,Oceania and Antarctica,34982
Student,Oman,1634
Student,Pakistan,2368
Student,Papua New Guinea,2210
Student,Peru,330
Student,Philippines,40704
Student,Qatar,792
Student,Russia,6486
Student,Samoa,2046
